Year,Australian Open,French Open,Wimbledon,US Open,tour
1968,,Nancy Richey,Billie Jean King,Virginia Wade,Womens
1969,Margaret Court,Margaret Court,Ann Haydon-Jones,Margaret Court,Womens
1970,Margaret Court,Margaret Court,Margaret Court,Margaret Court,Womens
1971,Margaret Court,Evonne Goolagong,Evonne Goolagong,Billie Jean King,Womens
1972,Virginia Wade,Billie Jean King,Billie Jean King,Billie Jean King,Womens
1973,Margaret Court,Margaret Court,Billie Jean King,Margaret Court,Womens
1974,Evonne Goolagong,Chris Evert,Chris Evert,Billie Jean King,Womens
1975,Evonne Goolagong,Chris Evert,Billie Jean King,Chris Evert,Womens
1976,Evonne Goolagong,Sue Barker,Chris Evert,Chris Evert,Womens
1977,Kerry Melville Reid,Mima Jaušovec,Virginia Wade,Chris Evert,Womens
1978,Chris O'Neil ‡,Virginia Ruzici,Martina Navratilova,Chris Evert,Womens
1979,Barbara Jordan ‡,Chris Evert,Martina Navratilova,Tracy Austin,Womens
1980,Hana Mandlíková ‡,Chris Evert,Evonne Goolagong,Chris Evert,Womens
1981,Martina Navratilova ‡,Hana Mandlíková,Chris Evert,Tracy Austin,Womens
1982,Chris Evert ‡,Martina Navratilova,Martina Navratilova,Chris Evert,Womens
1983,Martina Navratilova ‡,Chris Evert,Martina Navratilova,Martina Navratilova,Womens
1984,Chris Evert ‡,Martina Navratilova,Martina Navratilova,Martina Navratilova,Womens
1985,Martina Navratilova ‡,Chris Evert,Martina Navratilova,Hana Mandlíková,Womens
1986,Not held,Chris Evert,Martina Navratilova,Martina Navratilova,Womens
1987,Hana Mandlíková,Steffi Graf,Martina Navratilova,Martina Navratilova,Womens
1988,Steffi Graf,Steffi Graf,Steffi Graf,Steffi Graf,Womens
1989,Steffi Graf,Arantxa Sánchez Vicario,Steffi Graf,Steffi Graf,Womens
1990,Steffi Graf,Monica Seles,Martina Navratilova,Gabriela Sabatini,Womens
1991,Monica Seles,Monica Seles,Steffi Graf,Monica Seles,Womens
1992,Monica Seles,Monica Seles,Steffi Graf,Monica Seles,Womens
1993,Monica Seles,Steffi Graf,Steffi Graf,Steffi Graf,Womens
1994,Steffi Graf,Arantxa Sánchez Vicario,Conchita Martínez,Arantxa Sánchez Vicario,Womens
1995,Mary Pierce,Steffi Graf,Steffi Graf,Steffi Graf,Womens
1996,Monica Seles,Steffi Graf,Steffi Graf,Steffi Graf,Womens
1997,Martina Hingis,Iva Majoli,Martina Hingis,Martina Hingis,Womens
1998,Martina Hingis,Arantxa Sánchez Vicario,Jana Novotná,Lindsay Davenport,Womens
1999,Martina Hingis,Steffi Graf,Lindsay Davenport,Serena Williams,Womens
2000,Lindsay Davenport,Mary Pierce,Venus Williams,Venus Williams,Womens
